ID,vendor_id,payment_type,fare_amount,tip_amount,tipped,pickup_long,pickup_lat,dropoff_long,dropoff_lat
1,CMT,CRD,16.5,3.5,1,-73.986969,40.747799,-74.007027,40.705353
2,CMT,CSH,52,0,0,-73.78894,40.642941,-74.010094,40.71133
3,VTS,CRD,52,17.2,1,-73.790367,40.643856,-73.962494,40.767159
4,VTS,CSH,52,0,0,-73.783752,40.646374,-73.993958,40.720348
5,VTS,CRD,52,0,0,-73.783745,40.646385,-73.984596,40.768318
6,CMT,CRD,52,14.45,1,-73.966843,40.804379,-73.788979,40.644753
7,CMT,CRD,52,5,1,-73.782242,40.644756,-73.947617,40.784374
8,CMT,CRD,55,11.3,1,-73.776711,40.645309,-73.988754,40.693142
9,CMT,CSH,50.5,0,0,-73.783562,40.648739,-73.993858,40.69553
10,VTS,CRD,52,12,1,-73.777779,40.646717,-73.954506,40.766022
11,VTS,CRD,52,13,1,-74.010262,40.711884,-73.807228,40.658131
12,CMT,CRD,55,10,1,-73.782394,40.644547,-73.993469,40.70248
13,CMT,CRD,90,30.2,1,-73.993317,40.741898,-74.174149,40.991486
14,CMT,CRD,52,11.55,1,-73.786453,40.641281,-74.007523,40.747494
15,VTS,CRD,64.5,10,1,-73.789413,40.6469,-73.97039,40.677036
16,CMT,CSH,57.5,0,0,-73.790596,40.643936,-74.024765,40.631538
17,VTS,CSH,52,0,0,-73.789719,40.646881,-74.017189,40.705456
18,CMT,CRD,52,11.56,1,-73.789146,40.641861,-73.945618,40.782017
19,VTS,CRD,52,10.4,1,-73.976318,40.788387,-73.797615,40.644733
20,VTS,CSH,52,0,0,-73.982117,40.745888,-73.786461,40.639561
21,VTS,CSH,52,0,0,-73.782463,40.644695,-73.974899,40.790421
22,CMT,CRD,52,14.32,1,-73.782196,40.644661,-73.970497,40.795853
23,VTS,CRD,52,10.4,1,-73.782272,40.644718,-73.953766,40.784931
24,VTS,CRD,52,10,1,-73.788223,40.641369,-74.006897,40.709702
25,VTS,CRD,65,13,1,-73.789604,40.646923,-73.922104,40.881233
26,VTS,CRD,52,5.7,1,-73.789604,40.643497,-73.946236,40.823036
27,CMT,CRD,52,8,1,-73.788116,40.641621,-74.005531,40.715183
28,VTS,CSH,52,0,0,-73.789497,40.642128,-74.007202,40.706898
29,VTS,CRD,58,14.5,1,-73.776749,40.645481,-73.979462,40.677906
30,CMT,CRD,245,63.02,1,-73.873192,40.770954,-73.368805,41.110168
31,CMT,CRD,53,5,1,-73.865631,40.769474,-73.96666,40.585922
32,VTS,CRD,52,13,1,-73.795288,40.644707,-74.013329,40.714592
33,VTS,CRD,52,15.6,1,-73.959351,40.759064,-73.795204,40.644627
34,CMT,CRD,52,7.5,1,-73.789337,40.647438,-74.01609,40.704914
35,VTS,CRD,52,10.4,1,-73.977486,40.734043,-73.789101,40.641731
36,CMT,CSH,75.5,0,0,-73.873001,40.774033,-73.681992,40.844261
37,CMT,CSH,52,0,0,-73.96067,40.775543,-73.785942,40.63892
38,CMT,CRD,51.5,7.5,1,-73.790375,40.643715,-73.992889,40.698845
39,VTS,CRD,52,14.33,1,-73.78434,40.648602,-73.97612,40.752224
40,VTS,CRD,52,10.4,1,-73.783485,40.648674,-73.979256,40.786938
41,CMT,CSH,72,0,0,-73.993195,40.752033,-73.886002,40.636101
42,VTS,CRD,52,10.4,1,-73.970619,40.785984,-73.789307,40.642235
43,VTS,CSH,57,0,0,-73.865982,40.770794,-74.001274,40.640549
44,CMT,CRD,93,20.85,1,-73.968491,40.799744,-74.176964,40.694801
45,CMT,CRD,52,8,1,-73.782036,40.644703,-73.949181,40.77166
46,CMT,CRD,73.5,16.45,1,-73.968224,40.755344,-74.175201,40.695366
47,CMT,CSH,52,0,0,-73.781792,40.644726,-73.986801,40.768391
48,VTS,CRD,71.5,9,1,-73.790054,40.643791,-73.904877,40.860279
49,CMT,CRD,52,10,1,-73.790047,40.646862,-74.01075,40.710274
50,CMT,CRD,52,10.5,1,-73.778061,40.64666,-74.001152,40.710171
51,CMT,CRD,64.5,80,1,-73.984779,40.769428,-73.643005,40.763245
52,VTS,CRD,52,6.5,1,-73.776733,40.645412,-73.954865,40.78503
53,VTS,CRD,52,10.4,1,-73.783531,40.64864,-73.970093,40.789265
54,VTS,CSH,52,0,0,-73.780502,40.645302,-73.968246,40.793266
55,VTS,CRD,57,11.6,1,-73.788506,40.641354,-73.980705,40.645031
56,VTS,CSH,52,0,0,-73.937584,40.758011,-73.937584,40.758011
57,CMT,CRD,52,14.45,1,-73.778564,40.646744,-73.986008,40.760414
58,CMT,CRD,52,5,1,-73.964104,40.80793,-73.790031,40.643368
59,VTS,CRD,60.5,12.2,1,-73.781631,40.644787,-73.999794,40.683392
60,CMT,CSH,58,0,0,-73.980904,40.69672,-73.79039,40.646763
61,VTS,CRD,52,13,1,-74.004639,40.70771,-73.790359,40.643818
62,CMT,CRD,52,10.5,1,-73.95433,40.789707,-73.790421,40.644859
63,CMT,CSH,52,0,0,-74.007011,40.742374,-73.776299,40.646069
64,VTS,CRD,52,14.33,1,-74.013855,40.713959,-73.801727,40.646744
65,CMT,CRD,52,11.56,1,-73.787209,40.641186,-73.978371,40.766441
66,VTS,CSH,52,0,0,-73.777092,40.646397,-73.945953,40.824654
67,CMT,CRD,52,11.56,1,-73.776772,40.646046,-74.005997,40.70874
68,VTS,CRD,52,10,1,-73.776756,40.645691,-73.947708,40.783546
69,VTS,CRD,52,10.4,1,-73.776665,40.645409,-74.014626,40.704716
70,VTS,CRD,52,7.5,1,-73.781921,40.64468,-74.014191,40.717243
71,VTS,CRD,52,6,1,-73.780998,40.646587,-73.954765,40.785782
72,CMT,CSH,52,0,0,-73.790489,40.643761,-73.995491,40.724869
